id,name,collection,country,prefecture,priority,score,unknown_dimensions,reasons,recommended_action,current_facets
jp-116,志太系ラーメン,japan_local_ramen,日本,静岡県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-120,好来系ラーメン,japan_local_ramen,日本,愛知県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-123,亀山ラーメン,japan_local_ramen,日本,三重県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-129,神戸ラーメン,japan_local_ramen,日本,兵庫県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-131,播州ラーメン,japan_local_ramen,日本,兵庫県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-135,天理ラーメン,japan_local_ramen,日本,奈良県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-141,松江ラーメン,japan_local_ramen,日本,島根県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-142,岡山ラーメン,japan_local_ramen,日本,岡山県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-144,新見ラーメン,japan_local_ramen,日本,岡山県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-145,笠岡ラーメン,japan_local_ramen,日本,岡山県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-152,宇部ラーメン,japan_local_ramen,日本,山口県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-156,松山瓢系ラーメン,japan_local_ramen,日本,愛媛県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-157,今治ラーメン,japan_local_ramen,日本,愛媛県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-170,マジェンバ,japan_local_ramen,日本,佐賀県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-177,佐伯ラーメン,japan_local_ramen,日本,大分県,high,8,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,soup
jp-011,ガタタンラーメン,japan_local_ramen,日本,北海道,high,7,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,soup|vegetables
jp-066,豆腐ラーメン,japan_local_ramen,日本,埼玉県,high,7,brothSeasoning|noodle,noodle_unknown|broth_seasoning_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認,soup|tofu
jp-014,津軽中華そば,japan_local_ramen,日本,青森県,high,6,noodle|ingredients,noodle_unknown|ingredients_unknown|zero_legacy_tags,麺の太さ・形・硬さを資料で確認 / 代表的な具材を確認,soup|soy_sauce
jp-033,冷やしラーメン,japan_local_ramen,日本,山形県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,cold|light
jp-055,スープ入り焼きそば,japan_local_ramen,日本,栃木県,high,6,brothSeasoning|noodle|ingredients,noodle_unknown|broth_seasoning_unknown|ingredients_unknown,麺の太さ・形・硬さを資料で確認 / スープ・だし・たれを確認 / 代表的な具材を確認,fried_griddle|roasted
